Região;UF;Município;IBGE;N_Fam_Cad_Geral;N_Fam_Cad_Urbano;N_Fam_Cad_Rural;N_Fam_Cad_Geral_Ext_Pob;N_Fam_Cad_Urbano_Ext_Pob;N_Fam_Cad_Rural_Ext_Pob;N_Pes_Cad;N_Fam_PBF;N_Pes_PBF;N_Crianca_<5_PBF_2018_DAI;%_DAI_Crianca_<5_PBF_2018;N_Crianca_<5_PBF_2019_DAI;%_DAI_Crianca_<5_PBF_2019;N_Crianca_<2_PBF_2018_DAI;%_DAI_Crianca_<2_PBF_2018;N_Estab_AF_2017;N_DAP;N_DAP_CAD;N_Fam_Fomento;N_Cisterna_1;N_Cisterna_2;N_Cisterna_Escola;N_AF_PAA
Norte;AC;Acrelândia;120001;3402;1672;1730;1744;808;936;9747;1808;6247;99;12.34;150;21.31;39;44396;1228;622;298;6;0;0;0;152
Norte;AC;Assis Brasil;120005;1971;784;1187;1446;478;968;7368;1407;6039;157;24.92;219;28.93;54;29.51;476;228;149;19;101;0;0;152
Norte;AC;Brasiléia;120010;5468;3083;2385;3463;1832;1631;15850;3294;11294;124;9.58;163;13.33;57;15.41;1755;662;394;137;151;0;0;350
Norte;AC;Bujari;120013;2168;904;1264;1246;507;739;7337;1327;5487;83;15.75;113;20.81;33;23.74;1107;373;162;38;0;0;0;115
Norte;AC;Capixaba;120017;2595;926;1669;1408;463;945;8052;1361;5097;85;16.73;107;44428;43;26.88;1113;323;189;0;0;0;0;228
Norte;AC;Cruzeiro do Sul;120020;15635;9138;6497;11604;6233;5371;58238;10252;43852;681;16.87;690;44334;230;20.78;2842;454;308;491;72;0;0;365
Norte;AC;Epitaciolândia;120025;3206;2162;1044;1829;1130;699;8787;1941;6502;117;44216;143;23.44;45;36.59;1286;441;195;0;8;0;0;218
Norte;AC;Feijó;120030;6509;3171;3338;4682;2020;2662;25452;4816;20931;453;23.15;389;20.38;149;28.43;2590;436;306;369;65;0;0;161
Norte;AC;Jordão;120032;1810;623;1187;1476;464;1012;7782;1365;6502;369;53.25;473;58.68;94;53.41;460;68;45;169;0;0;0;24
Norte;AC;Mâncio Lima;120033;4262;2037;2225;3523;1587;1936;15346;3219;12760;280;44428;257;44462;110;29.49;951;251;168;112;65;0;0;86
Norte;AC;Manoel Urbano;120034;2763;1431;1332;1991;935;1056;9805;1723;7310;133;18.58;136;44275;37;19.17;526;135;86;60;0;0;0;130
