ibge_7,ibge_6,nome_municipio,cod_uf,uf,regiao,ano,percent_DAI,percent_DPI,percent_fam_cad_sem_esgoto_adequa,percent_fam_cad_sem_agua_adequa,percent_fam_cad_abaixo_linha_pobreza
1100015,110001,ALTA FLORESTA D'OESTE,11,RO,NORTE,2022,0.13,0.01,0.91,0.00,0.41
1100023,110002,ARIQUEMES,11,RO,NORTE,2022,0.10,0.05,0.92,0.00,0.41
1100031,110003,CABIXI,11,RO,NORTE,2022,0.09,0.00,0.69,0.00,0.47
1100049,110004,CACOAL,11,RO,NORTE,2022,0.14,0.03,0.34,0.00,0.38
1100056,110005,CEREJEIRAS,11,RO,NORTE,2022,0.09,0.01,0.82,0.00,0.38
1100064,110006,COLORADO DO OESTE,11,RO,NORTE,2022,0.08,0.01,0.93,0.00,0.25
1100072,110007,CORUMBIARA,11,RO,NORTE,2022,0.05,0.02,0.60,0.01,0.40
1100080,110008,COSTA MARQUES,11,RO,NORTE,2022,0.36,0.12,0.19,0.01,0.57
1100098,110009,ESPIGAO D'OESTE,11,RO,NORTE,2022,0.19,0.04,0.91,0.01,0.39
1100106,110010,GUAJARA-MIRIM,11,RO,NORTE,2022,0.20,0.06,0.22,0.04,0.54
1100114,110011,JARU,11,RO,NORTE,2022,0.08,0.03,0.98,0.00,0.36
1100122,110012,JI-PARANA,11,RO,NORTE,2022,0.06,0.02,0.81,0.00,0.26
1100130,110013,MACHADINHO D'OESTE,11,RO,NORTE,2022,0.03,0.03,0.93,0.00,0.39
1100148,110014,NOVA BRASILANDIA D'OESTE,11,RO,NORTE,2022,0.11,0.02,0.94,0.01,0.45
1100155,110015,OURO PRETO DO OESTE,11,RO,NORTE,2022,0.17,0.04,0.89,0.00,0.33
1100189,110018,PIMENTA BUENO,11,RO,NORTE,2022,0.13,0.01,0.94,0.00,0.30
1100205,110020,PORTO VELHO,11,RO,NORTE,2022,0.09,0.04,0.35,0.01,0.52
1100254,110025,PRESIDENTE MEDICI,11,RO,NORTE,2022,0.07,0.01,0.71,0.00,0.47
1100262,110026,RIO CRESPO,11,RO,NORTE,2022,0.05,0.01,0.28,0.01,0.45
1100288,110028,ROLIM DE MOURA,11,RO,NORTE,2022,0.16,0.07,0.72,0.00,0.26
1100296,110029,SANTA LUZIA D'OESTE,11,RO,NORTE,2022,0.21,0.04,0.94,0.00,0.37
1100304,110030,VILHENA,11,RO,NORTE,2022,0.11,0.04,0.79,0.00,0.26
1100320,110032,SAO MIGUEL DO GUAPORE,11,RO,NORTE,2022,0.04,0.03,0.93,0.00,0.33
1100338,110033,NOVA MAMORE,11,RO,NORTE,2022,0.17,0.00,0.75,0.03,0.49
1100346,110034,ALVORADA D'OESTE,11,RO,NORTE,2022,0.08,0.00,0.17,0.01,0.43
1100379,110037,ALTO ALEGRE DOS PARECIS,11,RO,NORTE,2022,0.08,0.05,0.91,0.00,0.49
1100403,110040,ALTO PARAISO,11,RO,NORTE,2022,0.09,0.03,0.97,0.00,0.43
1100452,110045,BURITIS,11,RO,NORTE,2022,0.18,0.07,0.78,0.00,0.46
1100502,110050,NOVO HORIZONTE DO OESTE,11,RO,NORTE,2022,0.00,0.00,0.79,0.01,0.34
1100601,110060,CACAULANDIA,11,RO,NORTE,2022,0.04,0.02,0.85,0.01,0.36
1100700,110070,CAMPO NOVO DE RONDONIA,11,RO,NORTE,2022,0.30,0.04,0.89,0.00,0.39
