Código;Unidade Territorial;UF;Referência;Famílias inscritas no Cadastro Único;fam_ext_pobreza;Famílias Indígenas inscritas no Cadastro Único;Famílias Indígenas em situação de extrema pobreza inscritas no Cadastro Único;Famílias Quilombolas inscritas no Cadastro Único;Famílias Quilombolas em situação de extrema pobreza inscritas no Cadastro Único;Famílias Extrativistas inscritas no Cadastro Único;Famílias Extrativistas em situação de extrema pobreza inscritas no Cadastro Único;Famílias de Pescadores Artesanais inscritas no Cadastro Único;Famílias de Pescadores Artesanais em situação de extrema pobreza inscritas no Cadastro Único;Famílias beneficiárias do Programa Bolsa Família;Famílias beneficiárias no Programa Bolsa Família em situação de extrema pobreza;Famílias Indígenas beneficiárias do Programa Bolsa Família;Famílias Quilombolas beneficiárias do Programa Bolsa Família;Famílias Extrativistas beneficiárias do Programa Bolsa Família;Famílias de Pescadores Artesanais beneficiárias do Programa Bolsa Família;Crianças de 0 a 4 anos beneficiárias do Programa Bolsa Família;Crianças PBF menores de 5 anos com Déficit de altura para idade (DAI) - SISVAN 2019;percent_DAI;qt_cestas;data_solicitacao;mes
110011;JARU;RO;jul/21;7317;659;4;2;0;0;0;0;2;0;2162;570;3;0;0;1;875;80;12.23;1500;07/05/2021;5
110018;PIMENTA BUENO;RO;jul/21;3918;589;16;16;0;0;0;0;2;2;879;523;14;0;0;2;324;15;8.06;2000;08/04/2021;4
110029;SANTA LUZIA DOESTE;RO;jul/21;1594;357;0;0;0;0;0;0;0;0;483;319;0;0;0;0;205;14;11.67;300;05/04/2021;4
110146;PIMENTEIRAS DO OESTE;RO;jul/21;512;178;1;0;105;38;0;0;11;7;192;141;0;41;0;6;92;4;5.48;180;08/04/2021;4
120020;CRUZEIRO DO SUL;AC;jul/21;15760;11688;190;163;0;0;2;2;145;120;10240;9319;155;0;1;108;4415;690;18.05;3000;09/04/2021;4
120050;SENA MADUREIRA;AC;jul/21;9525;7370;89;81;0;0;30;28;199;185;6783;6373;81;0;27;182;2878;225;8.17;2526;29/03/2021;3
130002;ALVARÃES;AM;jul/21;3338;2626;683;565;17;15;22;18;60;53;2328;2194;566;14;16;52;1049;160;19.44;1070;28/05/2021;5
130008;ANAMÃ;AM;jul/21;2787;QT_CESTAS;100;84;0;0;0;0;539;479;1955;1883;88;0;0;478;953;146;21.07;2500;17/05/2021;5
130010;ANORI;AM;jul/21;4048;3114;1;1;0;0;1;1;559;517;2866;2796;1;0;1;495;1057;171;17.2;8000;09/06/2021;6
130014;APUÍ;AM;jul/21;3509;1670;38;25;0;0;15;12;6;4;1866;1498;22;0;12;3;707;55;10.91;1492;10/06/2021;6
130030;AUTAZES;AM;jul/21;10999;9035;3088;2774;0;0;132;115;714;662;7451;7246;2607;0;116;637;3161;526;19.94;16840;26/03/2021;3
130040;BARCELOS;AM;jul/21;4367;2842;2546;1715;0;0;449;401;197;163;2952;2611;1805;0;414;175;1197;355;36.86;1484;26/04/2021;4
130080;BORBA;AM;jul/21;7536;5681;1099;928;0;0;0;0;242;209;5343;5092;969;0;0;214;2430;845;36.58;3000;08/06/2021;6
130090;CANUTAMA;AM;jul/21;3633;2895;269;250;1;1;1;1;25;25;2500;2444;228;1;1;22;954;300;30.09;2000;29/03/2021;3
130110;CAREIRO;AM;jul/21;8690;5073;176;132;1;1;1;0;662;380;5459;4682;143;1;1;500;1928;721;37.36;10000;21/05/2021;5
130115;CAREIRO DA VÁRZEA;AM;jul/21;5271;4025;34;29;2;2;1;1;255;234;3912;3798;31;2;1;237;1339;241;17.84;4426;18/05/2021;5
130140;EIRUNEPÉ;AM;jul/21;7445;5722;281;262;0;0;6;3;231;189;5244;4998;261;0;3;155;1894;552;23.96;4700;25/03/2021;3
130150;ENVIRA;AM;jul/21;3790;3306;160;152;1;1;1;1;12;11;2845;2777;125;1;1;9;1349;413;29.17;3000;08/04/2021;4
130160;FONTE BOA;AM;jul/21;5451;3972;91;70;0;0;23;17;278;203;3447;3298;73;0;17;178;1768;473;26.2;4000;24/04/2021;4
130165;GUAJARÁ;AM;jul/21;3317;2814;25;24;0;0;1;1;142;126;2541;2447;24;0;1;124;1183;236;18.41;1050;31/03/2021;3
130180;IPIXUNA;AM;jul/21;4566;4188;299;293;0;0;0;0;108;104;3748;3697;268;0;0;98;1505;426;34.08;3455;09/06/2021;6
130190;ITACOATIARA;AM;jul/21;19505;11359;112;86;54;41;99;85;1231;752;10719;9532;91;44;71;877;4291;891;19.84;5566;09/06/2021;6
130195;ITAMARATI;AM;jul/21;2547;1718;283;199;0;0;0;0;0;0;1591;1443;201;0;0;0;824;295;29.53;2000;29/03/2021;3
130220;JURUÁ;AM;jul/21;2388;1787;73;67;0;0;17;14;47;39;1584;1543;63;0;14;38;626;163;27.96;3946;29/03/2021;3
130250;MANACAPURU;AM;jul/21;26986;18856;54;46;0;0;6;4;1752;1402;17100;16165;45;0;5;1476;6261;1320;18.55;10000;23/04/2021;4
130255;MANAQUIRI;AM;jul/21;4815;3440;49;41;0;0;0;0;413;367;3119;2929;37;0;0;352;1339;161;12.98;2590;22/07/2021;7
130260;MANAUS;AM;jul/21;264927;97701;619;295;8;2;81;49;361;176;131468;85738;412;3;58;247;39853;5385;15.91;100000;16/04/2021;4
130270;MANICORÉ;AM;jul/21;10185;5311;590;385;3;0;21;13;278;93;5990;4711;450;1;17;191;2798;469;20.54;1000;19/04/2021;4
130290;MAUÉS;AM;jul/21;14173;10623;805;726;0;0;3;2;117;91;9088;8645;742;0;1;81;4133;1026;27.51;3500;16/07/2021;7
130300;NHAMUNDÁ;AM;jul/21;5060;4005;196;168;1;0;35;31;82;72;3497;3340;166;0;22;70;1512;219;15.88;588;11/06/2021;6
130320;NOVO AIRÃO;AM;jul/21;3525;2163;359;237;113;67;9;7;227;151;2186;1906;251;78;6;177;1008;254;25.15;4000;09/04/2021;4
130330;NOVO ARIPUANÃ;AM;jul/21;4794;3287;5;4;0;0;487;385;221;118;3166;2939;3;0;400;169;1276;228;15.79;2000;26/04/2021;4
130340;PARINTINS;AM;jul/21;24902;18113;180;157;4;1;2;2;205;158;15421;14630;156;1;1;158;5982;3059;42.77;7400;26/03/2021;3
130350;PAUINI;AM;jul/21;4124;3286;455;389;0;0;19;18;20;11;3016;2878;388;0;14;14;1419;315;20.49;2600;07/04/2021;4
130353;PRESIDENTE FIGUEIREDO;AM;jul/21;7660;4416;10;6;1;1;2;2;8;6;3549;3038;7;1;2;6;1170;142;15.03;2000;09/06/2021;6
130356;RIO PRETO DA EVA;AM;jul/21;5453;2681;75;51;0;0;1;1;12;9;3117;2347;56;0;1;10;1193;123;12.92;300;11/06/2021;6
130360;SANTA ISABEL DO RIO NEGRO;AM;jul/21;3095;2383;2998;2324;0;0;38;37;22;15;2265;2121;2216;0;34;18;1004;323;34.11;2000;29/04/2021;4
130390;SÃO PAULO DE OLIVENÇA;AM;jul/21;6262;4421;4638;3396;1;1;2018;1328;939;559;4298;3809;3377;1;1301;767;2725;853;27.6;3000;06/08/2021;8
130406;TABATINGA;AM;jul/21;11146;6150;3299;2358;0;0;20;17;224;111;6944;5534;2747;0;17;168;2945;1268;36.33;2000;12/04/2021;4
130423;TONANTINS;AM;jul/21;4592;3542;1364;1085;0;0;1;1;255;210;3140;2935;1069;0;1;207;1457;488;32.75;3500;03/05/2021;5
130440;URUCURITUBA;AM;jul/21;5255;4119;1;1;2;2;1;1;412;386;3435;3372;1;2;1;359;1466;607;35.11;500;14/07/2021;7
150030;AFUÁ;PA;jul/21;8900;6993;1;1;0;0;3;0;378;338;6597;6217;1;0;0;347;2506;930;34.17;8000;04/05/2021;5
150034;ÁGUA AZUL DO NORTE;PA;jul/21;4469;3064;1;1;0;0;1;0;3;3;2931;2722;0;0;0;3;901;123;14.01;500;14/04/2021;4
150060;ALTAMIRA;PA;jul/21;22787;12021;794;672;2;2;187;149;194;134;11440;9337;612;2;155;127;4217;568;16.47;14300;11/05/2021;5
150070;ANAJÁS;PA;jul/21;7243;5718;0;0;22;19;8;8;7;7;4991;4800;0;21;8;5;2384;611;27.53;7200;03/04/2021;4
150080;ANANINDEUA;PA;jul/21;94822;19896;0;0;96;41;54;29;49;26;34478;17909;0;59;39;33;9311;2520;30.09;8692;08/04/2021;4
150095;AURORA DO PARÁ;PA;jul/21;6038;4596;1;1;17;17;1;1;1;1;4095;4028;1;16;1;1;1502;341;22.96;4500;07/04/2021;4
150100;AVEIRO;PA;jul/21;2916;2020;54;38;0;0;1;1;128;97;2094;1928;43;0;1;106;784;157;20;700;13/04/2021;4
