ibge_7,ibge_6,nome_municipio,uf,percent_fam_cad_sem_esgoto_adequa,percent_fam_cad_sem_agua_adequa,percent_pess_cad_baixo_nivel_instrucao,percent_fam_cad_abaixo_linha_pobreza,percent_desnutricao_infantil_PBF_<_5_anos,nivel_vulnerabilidade_SAN
1100015,110001,ALTA FLORESTA DOESTE,RO,0.87,0.00,0.71,0.52,12.15,Baixa
1100023,110002,ARIQUEMES,RO,0.87,0.01,0.67,0.45,16.77,Baixa
1100031,110003,CABIXI,RO,0.40,0.00,0.64,0.36,6.67,Média
1100049,110004,CACOAL,RO,0.50,0.00,0.63,0.37,12.24,Média
1100056,110005,CEREJEIRAS,RO,0.89,0.00,0.62,0.37,8.14,Média
1100064,110006,COLORADO DO OESTE,RO,0.93,0.01,0.68,0.24,11.82,Média
1100072,110007,CORUMBIARA,RO,0.56,0.02,0.70,0.52,6.47,Baixa
1100080,110008,COSTA MARQUES,RO,0.30,0.01,0.66,0.80,13.79,Média
1100098,110009,ESPIGÃO DOESTE,RO,0.88,0.01,0.72,0.43,11.65,Baixa
1100106,110010,GUAJARÁ-MIRIM,RO,0.30,0.04,0.67,0.59,28.57,Alta
1100114,110011,JARU,RO,0.93,0.01,0.67,0.42,7.96,Média
1100122,110012,JI-PARANÁ,RO,0.68,0.00,0.67,0.29,7.64,Baixa
1100130,110013,MACHADINHO DOESTE,RO,0.89,0.00,0.72,0.46,9.81,Média
1100148,110014,NOVA BRASILÂNDIA DOESTE,RO,0.89,0.02,0.66,0.49,7.65,Baixa
1100155,110015,OURO PRETO DO OESTE,RO,0.80,0.00,0.70,0.24,17.32,Média
1100189,110018,PIMENTA BUENO,RO,0.91,0.00,0.70,0.32,18.64,Média
1100205,110020,PORTO VELHO,RO,0.39,0.01,0.58,0.43,11.08,Média
1100254,110025,PRESIDENTE MÉDICI,RO,0.65,0.00,0.68,0.49,20.53,Média
1100262,110026,RIO CRESPO,RO,0.46,0.02,0.69,0.58,10.94,Baixa
1100288,110028,ROLIM DE MOURA,RO,0.77,0.00,0.66,0.29,17.88,Alta
1100296,110029,SANTA LUZIA DOESTE,RO,0.94,0.00,0.65,0.41,11.43,Baixa
1100304,110030,VILHENA,RO,0.46,0.00,0.64,0.40,12.61,Baixa
